Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2024-09-20T20:00:00Z,CMG,0,-112,Market On Open,Submitted,0,"" 
2024-09-20T20:00:00Z,AMZN,0,23,Market On Open,Submitted,0,"" 
2024-09-20T20:00:00Z,WMT,0,-122,Market On Open,Submitted,0,"" 
2024-09-20T20:00:00Z,CAG,0,-243,Market On Open,Submitted,0,"" 
2024-09-20T20:00:00Z,PG,0,26,Market On Open,Submitted,0,"" 
2024-09-20T20:00:00Z,PEP,0,21,Market On Open,Submitted,0,"" 
2024-07-02T20:00:00Z,CMG,61.05,107,Market On Open,Filled,6532.35,"" 
2024-07-02T20:00:00Z,AMZN,200,-22,Market On Open,Filled,-4400,"" 
2024-07-09T20:00:00Z,CMG,57.48,-107,Market On Open,Filled,-6150.36,"" 
2024-07-09T20:00:00Z,AMZN,199.99,22,Market On Open,Filled,4399.78,"" 
2024-07-11T20:00:00Z,CMG,57.81,114,Market On Open,Filled,6590.34,"" 
2024-07-11T20:00:00Z,AMZN,194.8,-22,Market On Open,Filled,-4285.6,"" 
2024-07-26T20:00:00Z,CMG,49.98,-114,Market On Open,Filled,-5697.72,"" 
2024-07-26T20:00:00Z,AMZN,183.64,22,Market On Open,Filled,4040.08,"" 
2024-07-30T20:00:00Z,CMG,53.5,124,Market On Open,Filled,6634,"" 
2024-07-30T20:00:00Z,AMZN,185.24,-24,Market On Open,Filled,-4445.76,"" 
2024-08-08T20:00:00Z,HES,131.95001859,52,Market On Open,Filled,6861.40096668,"" 
2024-08-08T20:00:00Z,OXY,57.51276328,-112,Market On Open,Filled,-6441.42948736,"" 
2024-08-16T20:00:00Z,WMT,72.85146418,-130,Market On Open,Filled,-9470.6903434,"" 
2024-08-16T20:00:00Z,PG,164.024037722,27,Market On Open,Filled,4428.649018494,"" 
2024-08-19T20:00:00Z,HES,136.20837867,-52,Market On Open,Filled,-7082.83569084,"" 
2024-08-19T20:00:00Z,OXY,56.14948325,112,Market On Open,Filled,6288.742124,"" 
2024-08-23T20:00:00Z,AMZN,176.8,24,Market On Open,Filled,4243.2,"" 
2024-08-26T20:00:00Z,GM,48.202631769,-132,Market On Open,Filled,-6362.747393508,"" 
2024-08-26T20:00:00Z,AMZN,174.07,26,Market On Open,Filled,4525.82,"" 
2024-09-04T04:00:00Z,CMG,52.65,-124,Market On Open,Filled,-6528.6,"" 
2024-09-04T04:00:00Z,AMZN,174.43,-26,Market On Open,Filled,-4535.18,"" 
2024-09-06T20:00:00Z,WMT,76.20666174,130,Market On Open,Filled,9906.8660262,"" 
2024-09-06T20:00:00Z,PG,171.212342164,-27,Market On Open,Filled,-4622.733238428,"" 
2024-09-10T20:00:00Z,DAL,42.998635672,175,Market On Open,Filled,7524.7612426,"" 
2024-09-10T20:00:00Z,UAL,48.42,-140,Market On Open,Filled,-6778.8,"" 
2024-09-11T20:00:00Z,CMG,55.98,117,Market On Open,Filled,6549.66,"" 
2024-09-11T20:00:00Z,AMZN,185,-24,Market On Open,Filled,-4440,"" 
2024-09-12T20:00:00Z,CMG,56.45,-117,Market On Open,Filled,-6604.65,"" 
2024-09-12T20:00:00Z,AMZN,186.77,24,Market On Open,Filled,4482.48,"" 
2024-09-12T20:00:00Z,WMT,79.23428084,-121,Market On Open,Filled,-9587.34798164,"" 
2024-09-12T20:00:00Z,PG,169.095840042,26,Market On Open,Filled,4396.491841092,"" 
2024-09-13T20:00:00Z,CMG,56.52,116,Market On Open,Filled,6556.32,"" 
2024-09-13T20:00:00Z,AMZN,185,-24,Market On Open,Filled,-4440,"" 
2024-09-16T20:00:00Z,CMG,57.81,-116,Market On Open,Filled,-6705.96,"" 
2024-09-16T20:00:00Z,AMZN,186.82,24,Market On Open,Filled,4483.68,"" 
2024-09-19T20:00:00Z,WMT,77.65594826,121,Market On Open,Filled,9396.36973946,"" 
2024-09-19T20:00:00Z,PG,167.281695366,-26,Market On Open,Filled,-4349.324079516,"" 
2024-09-19T20:00:00Z,CMG,57.68,112,Market On Open,Filled,6460.16,"" 
2024-09-19T20:00:00Z,AMZN,190.29,-23,Market On Open,Filled,-4376.67,"" 
