Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-10-03T20:00:00Z,CVX,151.18805381,-89,Market On Open,Filled,-13455.73678909,"('CVX', 'DVN')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,DVN,41.79732153,354,Market On Open,Filled,14796.25182162,"('CVX', 'DVN')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,KMI,14.371296596,78,Market On Open,Filled,1120.961134488,"('KMI', 'TRP')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,TRP,29.400497875,-534,Market On Open,Filled,-15699.86586525,"('KMI', 'TRP')_OPEN_20231003_160000" 
2023-10-04T20:00:00Z,INTC,35.4078036,-335,Market On Open,Filled,-11861.614206,"('INTC', 'MU')_OPEN_20231004_160000" 
2023-10-04T20:00:00Z,MU,67.918095594,333,Market On Open,Filled,22616.725832802,"('INTC', 'MU')_OPEN_20231004_160000" 
2023-10-04T20:00:00Z,CNP,25.12500822,-209,Market On Open,Filled,-5251.12671798,"('CNP', 'NEE')_OPEN_20231004_160000" 
2023-10-04T20:00:00Z,NEE,46.7237283,693,Market On Open,Filled,32379.5437119,"('CNP', 'NEE')_OPEN_20231004_160000" 
2023-10-05T20:00:00Z,CVX,150.702124953,-107,Market On Open,Filled,-16125.127369971,"('CVX', 'OXY')_OPEN_20231005_160000" 
2023-10-05T20:00:00Z,OXY,57.72897052,175,Market On Open,Filled,10102.569841,"('CVX', 'OXY')_OPEN_20231005_160000" 
2023-10-09T20:00:00Z,KMI,15.06378085,-78,Market On Open,Filled,-1174.9749063,"('KMI', 'TRP')_CLOSE_CLOSE_20231009_160000" 
2023-10-09T20:00:00Z,TRP,30.125562785,534,Market On Open,Filled,16087.05052719,"('KMI', 'TRP')_CLOSE_CLOSE_20231009_160000" 
2023-10-10T20:00:00Z,OKE,60.54440049,-23,Market On Open,Filled,-1392.52121127,"('OKE', 'OXY')_OPEN_20231010_160000" 
2023-10-10T20:00:00Z,OXY,61.117410094,660,Market On Open,Filled,40337.49066204,"('OKE', 'OXY')_OPEN_20231010_160000" 
2023-10-12T20:00:00Z,OKE,62.4916026,-68,Market On Open,Filled,-4249.4289768,"('OKE', 'TRP')_OPEN_20231012_160000" 
2023-10-12T20:00:00Z,TRP,31.045157305,399,Market On Open,Filled,12387.017764695,"('OKE', 'TRP')_OPEN_20231012_160000" 
2023-10-13T20:00:00Z,CVX,151.2797385,107,Market On Open,Filled,16186.9320195,"('CVX', 'OXY')_CLOSE_CLOSE_20231013_160000" 
2023-10-13T20:00:00Z,OXY,62.353080366,-175,Market On Open,Filled,-10911.78906405,"('CVX', 'OXY')_CLOSE_CLOSE_20231013_160000" 
2023-10-16T20:00:00Z,FE,32.959215422,-284,Market On Open,Filled,-9360.417179848,"('FE', 'PPL')_OPEN_20231016_160000" 
