Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2024-07-19T20:00:00Z,ED,0,-95,Market On Open,Submitted,0,"" 
2024-07-19T20:00:00Z,AVA,0,171,Market On Open,Submitted,0,"" 
2024-07-02T20:00:00Z,CPB,43.41734334,-171,Market On Open,Filled,-7424.36571114,"" 
2024-07-02T20:00:00Z,K,55.205004379,92,Market On Open,Filled,5078.860402868,"" 
2024-07-09T20:00:00Z,FANG,195.922464804,-34,Market On Open,Filled,-6661.363803336,"" 
2024-07-09T20:00:00Z,WFRD,118.81868794,53,Market On Open,Filled,6297.39046082,"" 
2024-07-10T20:00:00Z,FANG,196.349078772,34,Market On Open,Filled,6675.868678248,"" 
2024-07-10T20:00:00Z,WFRD,121.68618157,-53,Market On Open,Filled,-6449.36762321,"" 
2024-07-11T20:00:00Z,TMUS,176.967568016,39,Market On Open,Filled,6901.735152624,"" 
2024-07-11T20:00:00Z,T,17.91082875,-362,Market On Open,Filled,-6483.7200075,"" 
2024-07-12T20:00:00Z,DUK,100.88368098,-67,Market On Open,Filled,-6759.20662566,"" 
2024-07-12T20:00:00Z,ALE,60.737098996,107,Market On Open,Filled,6498.869592572,"" 
2024-07-15T20:00:00Z,TMUS,179.462708158,-39,Market On Open,Filled,-6999.045618162,"" 
2024-07-15T20:00:00Z,T,17.762765899,362,Market On Open,Filled,6430.121255438,"" 
2024-07-15T20:00:00Z,ED,87.737858096,95,Market On Open,Filled,8335.09651912,"" 
2024-07-15T20:00:00Z,AVA,34.318718539,-171,Market On Open,Filled,-5868.500870169,"" 
2024-07-16T20:00:00Z,IMO,68.906307435,107,Market On Open,Filled,7372.974895545,"" 
2024-07-16T20:00:00Z,WFRD,131.47113406,-39,Market On Open,Filled,-5127.37422834,"" 
2024-07-18T20:00:00Z,CPB,46.18620846,171,Market On Open,Filled,7897.84164666,"" 
2024-07-18T20:00:00Z,K,57.597188821,-92,Market On Open,Filled,-5298.941371532,"" 
2024-07-18T20:00:00Z,PH,544.976915868,13,Market On Open,Filled,7084.699906284,"" 
2024-07-18T20:00:00Z,CNI,118.138465148,58,Market On Open,Filled,6852.030978584,"" 
2024-07-18T20:00:00Z,UNP,239.333616,-25,Market On Open,Filled,-5983.3404,"" 
2024-07-18T20:00:00Z,URI,726.565689948,-7,Market On Open,Filled,-5085.959829636,"" 
