Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2024-07-16T20:00:00Z,CPB,44.47489599,-204,Market On Open,Filled,-9072.87878196,"" 
2024-07-16T20:00:00Z,PCAR,104.6601105,69,Market On Open,Filled,7221.5476245,"" 
2024-07-16T20:00:00Z,GWW,975.242608574,-7,Market On Open,Filled,-6826.698260018,"" 
2024-07-16T20:00:00Z,K,55.681496402,110,Market On Open,Filled,6124.96460422,"" 
2024-07-17T20:00:00Z,NI,29.618113452,-329,Market On Open,Filled,-9744.359325708,"" 
2024-07-17T20:00:00Z,PEG,72.521425925,73,Market On Open,Filled,5294.064092525,"" 
2024-07-18T20:00:00Z,CPB,46.18620846,204,Market On Open,Filled,9421.98652584,"" 
2024-07-18T20:00:00Z,PCAR,105.56268393,-69,Market On Open,Filled,-7283.82519117,"" 
2024-07-18T20:00:00Z,GWW,955.857992608,7,Market On Open,Filled,6691.005948256,"" 
2024-07-18T20:00:00Z,K,57.597188821,-110,Market On Open,Filled,-6335.69077031,"" 
2024-07-18T20:00:00Z,CTRA,26.22301697,-331,Market On Open,Filled,-8679.81861707,"" 
2024-07-18T20:00:00Z,CHK,78.997832277,102,Market On Open,Filled,8057.778892254,"" 
2024-07-24T20:00:00Z,PH,528.190732124,15,Market On Open,Filled,7922.86098186,"" 
2024-07-24T20:00:00Z,TMUS,175.79396455,45,Market On Open,Filled,7910.72840475,"" 
2024-07-24T20:00:00Z,T,18.283373988,-417,Market On Open,Filled,-7624.166952996,"" 
2024-07-24T20:00:00Z,URI,708.549699,-8,Market On Open,Filled,-5668.397592,"" 
2024-07-25T20:00:00Z,NI,30.30668125,329,Market On Open,Filled,9970.89813125,"" 
2024-07-25T20:00:00Z,PEG,72.307984939,-73,Market On Open,Filled,-5278.482900547,"" 
2024-07-31T20:00:00Z,T,18.455317944,14,Market On Open,Filled,258.374451216,"" 
2024-08-01T20:00:00Z,TMUS,186.3958446,-45,Market On Open,Filled,-8387.813007,"" 
2024-08-01T20:00:00Z,T,18.760996088,403,Market On Open,Filled,7560.681423464,"" 
2024-08-05T20:00:00Z,CSCO,43.50688995,186,Market On Open,Filled,8092.2815307,"" 
2024-08-05T20:00:00Z,TEL,140.179041856,26,Market On Open,Filled,3644.655088256,"" 
2024-08-06T20:00:00Z,TEL,141.095117352,-26,Market On Open,Filled,-3668.473051152,"" 
2024-08-07T20:00:00Z,ET,14.630907375,475,Market On Open,Filled,6949.681003125,"" 
2024-08-07T20:00:00Z,OKE,80.55981318,-77,Market On Open,Filled,-6203.10561486,"" 
2024-08-09T20:00:00Z,ET,14.88690597,-475,Market On Open,Filled,-7071.28033575,"" 
2024-08-12T20:00:00Z,URI,688.730127,8,Market On Open,Filled,5509.841016,"" 
2024-08-12T20:00:00Z,CSCO,43.77941633,-34,Market On Open,Filled,-1488.50015522,"" 
2024-08-12T20:00:00Z,PH,564.158298,-1,Market On Open,Filled,-564.158298,"" 
2024-08-12T20:00:00Z,TMUS,193.10215012,-29,Market On Open,Filled,-5599.96235348,"" 
2024-08-14T20:00:00Z,PH,581.9738232,-3,Market On Open,Filled,-1745.9214696,"" 
2024-08-14T20:00:00Z,CSCO,47.448789375,-37,Market On Open,Filled,-1755.605206875,"" 
2024-08-14T20:00:00Z,TMUS,193.614985248,6,Market On Open,Filled,1161.689911488,"" 
2024-08-14T20:00:00Z,T,18.665471668,217,Market On Open,Filled,4050.407351956,"" 
2024-08-14T20:00:00Z,KR,52.340779714,32,Market On Open,Filled,1674.904950848,"" 
2024-08-15T20:00:00Z,GIS,66.0131175,-78,Market On Open,Filled,-5149.023165,"" 
2024-08-15T20:00:00Z,URI,712.311818669,-5,Market On Open,Filled,-3561.559093345,"" 
2024-08-16T20:00:00Z,GIS,66.358786188,78,Market On Open,Filled,5175.985322664,"" 
2024-08-16T20:00:00Z,URI,711.28873893,5,Market On Open,Filled,3556.44369465,"" 
2024-08-19T20:00:00Z,GIS,67.040521656,-77,Market On Open,Filled,-5162.120167512,"" 
2024-08-19T20:00:00Z,URI,715.162536,-5,Market On Open,Filled,-3575.81268,"" 
2024-08-20T20:00:00Z,CSCO,48.95741755,-212,Market On Open,Filled,-10378.9725206,"" 
2024-08-20T20:00:00Z,TMUS,193.664296318,23,Market On Open,Filled,4454.278815314,"" 
2024-08-20T20:00:00Z,URI,714.66589535,5,Market On Open,Filled,3573.32947675,"" 
2024-08-20T20:00:00Z,PH,579.4994447,-1,Market On Open,Filled,-579.4994447,"" 
2024-08-20T20:00:00Z,T,18.646366784,-13,Market On Open,Filled,-242.402768192,"" 
2024-08-20T20:00:00Z,TEL,147.44917292,-14,Market On Open,Filled,-2064.28842088,"" 
2024-08-21T20:00:00Z,GIS,68.1735468,3,Market On Open,Filled,204.5206404,"" 
2024-08-21T20:00:00Z,TMUS,193.190910046,-20,Market On Open,Filled,-3863.81820092,"" 
2024-08-21T20:00:00Z,URI,720.72491128,-5,Market On Open,Filled,-3603.6245564,"" 
2024-08-22T20:00:00Z,TMUS,195.232388344,20,Market On Open,Filled,3904.64776688,"" 
2024-08-22T20:00:00Z,URI,716.384271999,5,Market On Open,Filled,3581.921359995,"" 
2024-08-22T20:00:00Z,NI,31.904411798,-232,Market On Open,Filled,-7401.823537136,"" 
2024-08-22T20:00:00Z,AEP,95.84891008,67,Market On Open,Filled,6421.87697536,"" 
2024-08-23T20:00:00Z,TMUS,196.2580586,-20,Market On Open,Filled,-3925.161172,"" 
2024-08-23T20:00:00Z,URI,744.960975,-5,Market On Open,Filled,-3724.804875,"" 
2024-08-29T20:00:00Z,OKE,86.971716678,77,Market On Open,Filled,6696.822184206,"" 
2024-09-03T04:00:00Z,PH,588.220767043,-10,Market On Open,Filled,-5882.20767043,"" 
2024-09-03T04:00:00Z,GIS,69.42179484,74,Market On Open,Filled,5137.21281816,"" 
2024-09-03T04:00:00Z,CSCO,48.87955287,97,Market On Open,Filled,4741.31662839,"" 
2024-09-03T04:00:00Z,TMUS,197.758533346,20,Market On Open,Filled,3955.17066692,"" 
2024-09-03T04:00:00Z,T,19.038016906,-204,Market On Open,Filled,-3883.755448824,"" 
2024-09-03T04:00:00Z,URI,723.088920774,5,Market On Open,Filled,3615.44460387,"" 
2024-09-03T04:00:00Z,TEL,148.7730856,14,Market On Open,Filled,2082.8231984,"" 
2024-09-03T04:00:00Z,KR,52.458974926,-32,Market On Open,Filled,-1678.687197632,"" 
2024-09-03T20:00:00Z,PH,571.388087459,8,Market On Open,Filled,4571.104699672,"" 
2024-09-03T20:00:00Z,TEL,144.672038043,-29,Market On Open,Filled,-4195.489103247,"" 
2024-09-03T20:00:00Z,CSCO,48.49022947,-79,Market On Open,Filled,-3830.72812813,"" 
2024-09-03T20:00:00Z,TMUS,198.718286072,-17,Market On Open,Filled,-3378.210863224,"" 
2024-09-03T20:00:00Z,T,19.572953658,166,Market On Open,Filled,3249.110307228,"" 
2024-09-03T20:00:00Z,NXPI,229.424903779,11,Market On Open,Filled,2523.673941569,"" 
2024-09-03T20:00:00Z,KR,53.158296597,24,Market On Open,Filled,1275.799118328,"" 
2024-09-04T20:00:00Z,AEP,100.5557762,-67,Market On Open,Filled,-6737.2370054,"" 
2024-09-04T20:00:00Z,PH,570.415444417,-1,Market On Open,Filled,-570.415444417,"" 
2024-09-04T20:00:00Z,TMUS,196.4030063,2,Market On Open,Filled,392.8060126,"" 
2024-09-04T20:00:00Z,TEL,145.024395351,3,Market On Open,Filled,435.073186053,"" 
2024-09-04T20:00:00Z,CSCO,48.13983841,10,Market On Open,Filled,481.3983841,"" 
2024-09-04T20:00:00Z,NXPI,231.839799433,-1,Market On Open,Filled,-231.839799433,"" 
2024-09-04T20:00:00Z,T,19.735345172,-22,Market On Open,Filled,-434.177593784,"" 
2024-09-04T20:00:00Z,GIS,71.025313476,-52,Market On Open,Filled,-3693.316300752,"" 
2024-09-04T20:00:00Z,HSY,194.358142704,-16,Market On Open,Filled,-3109.730283264,"" 
2024-09-05T20:00:00Z,CSCO,47.623984905,69,Market On Open,Filled,3286.054958445,"" 
2024-09-05T20:00:00Z,NXPI,231.839799433,-10,Market On Open,Filled,-2318.39799433,"" 
2024-09-05T20:00:00Z,GIS,71.63023368,-11,Market On Open,Filled,-787.93257048,"" 
2024-09-05T20:00:00Z,HSY,193.20728658,-4,Market On Open,Filled,-772.82914632,"" 
2024-09-05T20:00:00Z,T,19.744897614,31,Market On Open,Filled,612.091826034,"" 
2024-09-05T20:00:00Z,TEL,143.800932476,-4,Market On Open,Filled,-575.203729904,"" 
2024-09-05T20:00:00Z,PH,572.6684033,1,Market On Open,Filled,572.6684033,"" 
2024-09-05T20:00:00Z,TMUS,195.294838204,-2,Market On Open,Filled,-390.589676408,"" 
2024-09-06T20:00:00Z,GIS,72.071921448,63,Market On Open,Filled,4540.531051224,"" 
2024-09-06T20:00:00Z,TEL,141.951056609,30,Market On Open,Filled,4258.53169827,"" 
2024-09-06T20:00:00Z,TMUS,191.228257066,17,Market On Open,Filled,3250.880370122,"" 
2024-09-06T20:00:00Z,T,20.01236599,-364,Market On Open,Filled,-7284.50122036,"" 
2024-09-06T20:00:00Z,PH,574.802263035,2,Market On Open,Filled,1149.60452607,"" 
2024-09-06T20:00:00Z,HSY,194.660486262,-4,Market On Open,Filled,-778.641945048,"" 
2024-09-06T20:00:00Z,KR,51.336120412,7,Market On Open,Filled,359.352842884,"" 
2024-09-09T20:00:00Z,TMUS,193.642480418,18,Market On Open,Filled,3485.564647524,"" 
2024-09-09T20:00:00Z,HRL,31.251261012,50,Market On Open,Filled,1562.5630506,"" 
2024-09-13T20:00:00Z,GIS,71.620631772,-76,Market On Open,Filled,-5443.168014672,"" 
2024-09-13T20:00:00Z,URI,728.949280444,-5,Market On Open,Filled,-3644.74640222,"" 
2024-09-16T20:00:00Z,PH,593.5107542,-1,Market On Open,Filled,-593.5107542,"" 
2024-09-16T20:00:00Z,GIS,71.370982164,13,Market On Open,Filled,927.822768132,"" 
2024-09-16T20:00:00Z,HSY,195.762577296,4,Market On Open,Filled,783.050309184,"" 
2024-09-16T20:00:00Z,T,21.044029726,38,Market On Open,Filled,799.673129588,"" 
2024-09-16T20:00:00Z,TMUS,202.992648728,-2,Market On Open,Filled,-405.985297456,"" 
2024-09-16T20:00:00Z,KR,55.147915999,-5,Market On Open,Filled,-275.739579995,"" 
2024-09-16T20:00:00Z,HRL,31.068336194,-9,Market On Open,Filled,-279.615025746,"" 
2024-09-16T20:00:00Z,CNC,77.02,-47,Market On Open,Filled,-3619.94,"" 
2024-09-16T20:00:00Z,ZBH,106.277895262,15,Market On Open,Filled,1594.16842893,"" 
2024-09-17T20:00:00Z,ETR,62.882364384,-107,Market On Open,Filled,-6728.412989088,"" 
2024-09-17T20:00:00Z,AEP,101.28514595,58,Market On Open,Filled,5874.5384651,"" 
2024-09-18T20:00:00Z,T,20.671484488,151,Market On Open,Filled,3121.394157688,"" 
2024-09-18T20:00:00Z,TMUS,196.135858634,-16,Market On Open,Filled,-3138.173738144,"" 
2024-09-18T20:00:00Z,D,55.243666976,107,Market On Open,Filled,5911.072366432,"" 
2024-09-18T20:00:00Z,GIS,71.649437496,-14,Market On Open,Filled,-1003.092124944,"" 
2024-09-18T20:00:00Z,CNC,76.63,-11,Market On Open,Filled,-842.93,"" 
2024-09-18T20:00:00Z,HSY,192.661117572,-4,Market On Open,Filled,-770.644470288,"" 
2024-09-18T20:00:00Z,PH,617.72758096,1,Market On Open,Filled,617.72758096,"" 
2024-09-18T20:00:00Z,ZBH,106.684141179,4,Market On Open,Filled,426.736564716,"" 
2024-09-18T20:00:00Z,HRL,31.212750524,9,Market On Open,Filled,280.914754716,"" 
2024-09-18T20:00:00Z,KR,53.828069465,5,Market On Open,Filled,269.140347325,"" 
2024-09-19T20:00:00Z,PH,615.127249562,-1,Market On Open,Filled,-615.127249562,"" 
2024-09-19T20:00:00Z,GIS,72.177542436,12,Market On Open,Filled,866.130509232,"" 
2024-09-19T20:00:00Z,HSY,191.734580862,3,Market On Open,Filled,575.203742586,"" 
2024-09-19T20:00:00Z,CNC,75.29,9,Market On Open,Filled,677.61,"" 
2024-09-19T20:00:00Z,ZBH,104.603369409,-2,Market On Open,Filled,-209.206738818,"" 
2024-09-19T20:00:00Z,KR,54.005362283,-4,Market On Open,Filled,-216.021449132,"" 
2024-09-19T20:00:00Z,HRL,30.923921864,-7,Market On Open,Filled,-216.467453048,"" 
2024-09-19T20:00:00Z,CSCO,50.076722325,-83,Market On Open,Filled,-4156.367952975,"" 
2024-09-19T20:00:00Z,NXPI,230.24966916,-4,Market On Open,Filled,-920.99867664,"" 
