Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-10-03T20:00:00Z,MRK,95.421976608,61,Market On Open,Filled,5820.740573088,"('MRK', 'PFE')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,PFE,29.91285489,-462,Market On Open,Filled,-13819.73895918,"('MRK', 'PFE')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,CVX,151.18805381,-50,Market On Open,Filled,-7559.4026905,"('CVX', 'DVN')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,DVN,41.79732153,198,Market On Open,Filled,8275.86966294,"('CVX', 'DVN')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,KMI,14.371296596,47,Market On Open,Filled,675.450940012,"('KMI', 'TRP')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,TRP,29.400497875,-322,Market On Open,Filled,-9466.96031575,"('KMI', 'TRP')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,CTRA,24.50929712,184,Market On Open,Filled,4509.71067008,"('CTRA', 'ENB')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,ENB,27.5668407,-250,Market On Open,Filled,-6891.710175,"('CTRA', 'ENB')_OPEN_20231003_160000" 
2023-10-04T20:00:00Z,INTC,35.4078036,-197,Market On Open,Filled,-6975.3373092,"('INTC', 'MU')_OPEN_20231004_160000" 
2023-10-04T20:00:00Z,MU,67.918095594,197,Market On Open,Filled,13379.864832018,"('INTC', 'MU')_OPEN_20231004_160000" 
2023-10-04T20:00:00Z,CNP,25.12500822,-124,Market On Open,Filled,-3115.50101928,"('CNP', 'NEE')_OPEN_20231004_160000" 
2023-10-04T20:00:00Z,NEE,46.7237283,412,Market On Open,Filled,19250.1760596,"('CNP', 'NEE')_OPEN_20231004_160000" 
2023-10-05T20:00:00Z,CVX,150.702124953,-44,Market On Open,Filled,-6630.893497932,"('CVX', 'OXY')_OPEN_20231005_160000" 
2023-10-05T20:00:00Z,OXY,57.72897052,73,Market On Open,Filled,4214.21484796,"('CVX', 'OXY')_OPEN_20231005_160000" 
2023-10-09T20:00:00Z,CTRA,26.4003888,-184,Market On Open,Filled,-4857.6715392,"('CTRA', 'ENB')_CLOSE_20231009_160000" 
2023-10-09T20:00:00Z,ENB,28.31070783,250,Market On Open,Filled,7077.6769575,"('CTRA', 'ENB')_CLOSE_20231009_160000" 
2023-10-09T20:00:00Z,KMI,15.06378085,-47,Market On Open,Filled,-707.99769995,"('KMI', 'TRP')_CLOSE_20231009_160000" 
2023-10-09T20:00:00Z,TRP,30.125562785,322,Market On Open,Filled,9700.43121677,"('KMI', 'TRP')_CLOSE_20231009_160000" 
2023-10-10T20:00:00Z,OKE,60.54440049,-16,Market On Open,Filled,-968.71040784,"('OKE', 'OXY')_OPEN_20231010_160000" 
2023-10-10T20:00:00Z,OXY,61.117410094,337,Market On Open,Filled,20596.567201678,"('OKE', 'OXY')_OPEN_20231010_160000" 
2023-10-13T20:00:00Z,CVX,151.2797385,44,Market On Open,Filled,6656.308494,"('CVX', 'OXY')_CLOSE_20231013_160000" 
2023-10-13T20:00:00Z,OXY,62.353080366,-73,Market On Open,Filled,-4551.774866718,"('CVX', 'OXY')_CLOSE_20231013_160000" 
2023-10-16T20:00:00Z,FE,32.959215422,-168,Market On Open,Filled,-5537.148190896,"('FE', 'PPL')_OPEN_20231016_160000" 
2023-10-16T20:00:00Z,PPL,22.425950359,210,Market On Open,Filled,4709.44957539,"('FE', 'PPL')_OPEN_20231016_160000" 
2023-10-16T20:00:00Z,EXC,36.559324004,-154,Market On Open,Filled,-5630.135896616,"('EXC', 'NI')_OPEN_20231016_160000" 
2023-10-16T20:00:00Z,NI,24.289600762,160,Market On Open,Filled,3886.33612192,"('EXC', 'NI')_OPEN_20231016_160000" 
2023-10-23T20:00:00Z,INTC,33.165309372,197,Market On Open,Filled,6533.565946284,"('INTC', 'MU')_CLOSE_20231023_160000" 
2023-10-23T20:00:00Z,MU,66.722529972,-197,Market On Open,Filled,-13144.338404484,"('INTC', 'MU')_CLOSE_20231023_160000" 
2023-10-24T20:00:00Z,CVX,143.871615548,50,Market On Open,Filled,7193.5807774,"('CVX', 'DVN')_CLOSE_20231024_160000" 
2023-10-24T20:00:00Z,DVN,43.90717076,-198,Market On Open,Filled,-8693.61981048,"('CVX', 'DVN')_CLOSE_20231024_160000" 
2023-10-24T20:00:00Z,CVX,143.871615548,60,Market On Open,Filled,8632.29693288,"('CVX', 'OXY')_OPEN_20231024_160000" 
2023-10-24T20:00:00Z,OXY,60.518882306,-99,Market On Open,Filled,-5991.369348294,"('CVX', 'OXY')_OPEN_20231024_160000" 
2023-10-24T20:00:00Z,D,36.315602022,98,Market On Open,Filled,3558.928998156,"('D', 'NEE')_OPEN_20231024_160000" 
2023-10-24T20:00:00Z,NEE,52.33245782,-127,Market On Open,Filled,-6646.22214314,"('D', 'NEE')_OPEN_20231024_160000" 
2023-10-26T20:00:00Z,FE,32.78473086,168,Market On Open,Filled,5507.83478448,"('FE', 'PPL')_CLOSE_20231026_160000" 
2023-10-26T20:00:00Z,PPL,23.042921065,-210,Market On Open,Filled,-4839.01342365,"('FE', 'PPL')_CLOSE_20231026_160000" 
2023-10-27T20:00:00Z,CNP,25.3902798,124,Market On Open,Filled,3148.3946952,"('CNP', 'NEE')_CLOSE_20231027_160000" 
2023-10-27T20:00:00Z,NEE,53.22646672,-412,Market On Open,Filled,-21929.30428864,"('CNP', 'NEE')_CLOSE_20231027_160000" 
2023-10-27T20:00:00Z,CVX,133.547919454,-60,Market On Open,Filled,-8012.87516724,"('CVX', 'OXY')_CLOSE_20231027_160000" 
2023-10-27T20:00:00Z,OXY,59.99758391,99,Market On Open,Filled,5939.76080709,"('CVX', 'OXY')_CLOSE_20231027_160000" 
2023-10-27T20:00:00Z,KMI,14.797532442,43,Market On Open,Filled,636.293895006,"('KMI', 'OXY')_OPEN_20231027_160000" 
2023-10-27T20:00:00Z,OXY,59.99758391,-155,Market On Open,Filled,-9299.62550605,"('KMI', 'OXY')_OPEN_20231027_160000" 
2023-10-27T20:00:00Z,CNP,25.3902798,26,Market On Open,Filled,660.1472748,"('CNP', 'D')_OPEN_20231027_160000" 
2023-10-27T20:00:00Z,D,36.424250046,-249,Market On Open,Filled,-9069.638261454,"('CNP', 'D')_OPEN_20231027_160000" 
2023-10-30T20:00:00Z,EXC,35.303399383,154,Market On Open,Filled,5436.723504982,"('EXC', 'NI')_CLOSE_20231030_160000" 
2023-10-30T20:00:00Z,NI,23.881639328,-160,Market On Open,Filled,-3821.06229248,"('EXC', 'NI')_CLOSE_20231030_160000" 
2023-10-30T20:00:00Z,ENB,27.899393064,42,Market On Open,Filled,1171.774508688,"('ENB', 'FTI')_OPEN_20231030_160000" 
2023-10-30T20:00:00Z,FTI,21.036951355,-301,Market On Open,Filled,-6332.122357855,"('ENB', 'FTI')_OPEN_20231030_160000" 
2023-11-01T20:00:00Z,CAG,24.69089401,364,Market On Open,Filled,8987.48541964,"('CAG', 'KHC')_OPEN_20231101_160000" 
2023-11-01T20:00:00Z,KHC,29.27432087,-256,Market On Open,Filled,-7494.22614272,"('CAG', 'KHC')_OPEN_20231101_160000" 
2023-11-02T20:00:00Z,INTC,37.3749038,-182,Market On Open,Filled,-6802.2324916,"('INTC', 'MU')_OPEN_20231102_160000" 
2023-11-02T20:00:00Z,MU,70.69871284,180,Market On Open,Filled,12725.7683112,"('INTC', 'MU')_OPEN_20231102_160000" 
2023-11-02T20:00:00Z,EXC,37.870252623,-162,Market On Open,Filled,-6134.980924926,"('EXC', 'PPL')_OPEN_20231102_160000" 
2023-11-02T20:00:00Z,PPL,23.865548673,443,Market On Open,Filled,10572.438062139,"('EXC', 'PPL')_OPEN_20231102_160000" 
