Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-10-03T20:00:00Z,CVX,151.18805381,-59,Market On Open,Filled,-8920.09517479,"('CVX', 'DVN')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,DVN,41.79732153,236,Market On Open,Filled,9864.16788108,"('CVX', 'DVN')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,KMI,14.371296596,49,Market On Open,Filled,704.193533204,"('KMI', 'TRP')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,TRP,29.400497875,-346,Market On Open,Filled,-10172.57226475,"('KMI', 'TRP')_OPEN_20231003_160000" 
2023-10-04T20:00:00Z,INTC,35.4078036,-222,Market On Open,Filled,-7860.5323992,"('INTC', 'MU')_OPEN_20231004_160000" 
2023-10-04T20:00:00Z,MU,67.918095594,222,Market On Open,Filled,15077.817221868,"('INTC', 'MU')_OPEN_20231004_160000" 
2023-10-05T20:00:00Z,CVX,150.702124953,-71,Market On Open,Filled,-10699.850871663,"('CVX', 'OXY')_OPEN_20231005_160000" 
2023-10-05T20:00:00Z,OXY,57.72897052,117,Market On Open,Filled,6754.28955084,"('CVX', 'OXY')_OPEN_20231005_160000" 
2023-10-05T20:00:00Z,CNP,24.87868461,-136,Market On Open,Filled,-3383.50110696,"('CNP', 'NEE')_OPEN_20231005_160000" 
2023-10-05T20:00:00Z,NEE,45.86736188,456,Market On Open,Filled,20915.51701728,"('CNP', 'NEE')_OPEN_20231005_160000" 
2023-10-09T20:00:00Z,KMI,15.06378085,-49,Market On Open,Filled,-738.12526165,"('KMI', 'TRP')_CLOSE_CLOSE_20231009_160000" 
2023-10-09T20:00:00Z,TRP,30.125562785,346,Market On Open,Filled,10423.44472361,"('KMI', 'TRP')_CLOSE_CLOSE_20231009_160000" 
2023-10-10T20:00:00Z,OKE,60.54440049,-18,Market On Open,Filled,-1089.79920882,"('OKE', 'OXY')_OPEN_20231010_160000" 
2023-10-10T20:00:00Z,OXY,61.117410094,437,Market On Open,Filled,26708.308211078,"('OKE', 'OXY')_OPEN_20231010_160000" 
2023-10-11T20:00:00Z,OKE,61.422905628,-67,Market On Open,Filled,-4115.334677076,"('OKE', 'TRP')_OPEN_20231011_160000" 
2023-10-11T20:00:00Z,TRP,31.03631505,413,Market On Open,Filled,12817.99811565,"('OKE', 'TRP')_OPEN_20231011_160000" 
2023-10-13T20:00:00Z,CVX,151.2797385,71,Market On Open,Filled,10740.8614335,"('CVX', 'OXY')_CLOSE_CLOSE_20231013_160000" 
2023-10-13T20:00:00Z,OXY,62.353080366,-117,Market On Open,Filled,-7295.310402822,"('CVX', 'OXY')_CLOSE_CLOSE_20231013_160000" 
2023-10-16T20:00:00Z,FE,32.959215422,-251,Market On Open,Filled,-8272.763070922,"('FE', 'PPL')_OPEN_20231016_160000" 
2023-10-16T20:00:00Z,PPL,22.425950359,315,Market On Open,Filled,7064.174363085,"('FE', 'PPL')_OPEN_20231016_160000" 
2023-10-16T20:00:00Z,EXC,36.559324004,-233,Market On Open,Filled,-8518.322492932,"('EXC', 'NI')_OPEN_20231016_160000" 
2023-10-16T20:00:00Z,NI,24.289600762,241,Market On Open,Filled,5853.793783642,"('EXC', 'NI')_OPEN_20231016_160000" 
2023-10-17T20:00:00Z,CNP,26.48926206,-266,Market On Open,Filled,-7046.14370796,"('CNP', 'PPL')_OPEN_20231017_160000" 
2023-10-17T20:00:00Z,PPL,22.594215097,465,Market On Open,Filled,10506.310020105,"('CNP', 'PPL')_OPEN_20231017_160000" 
2023-10-18T20:00:00Z,CTRA,27.81402664,-242,Market On Open,Filled,-6730.99444688,"('CTRA', 'WMB')_OPEN_20231018_160000" 
2023-10-18T20:00:00Z,WMB,32.865022832,367,Market On Open,Filled,12061.463379344,"('CTRA', 'WMB')_OPEN_20231018_160000" 
2023-10-23T20:00:00Z,CNP,25.665025365,266,Market On Open,Filled,6826.89674709,"('CNP', 'PPL')_CLOSE_CLOSE_20231023_160000" 
2023-10-23T20:00:00Z,PPL,22.295077785,-465,Market On Open,Filled,-10367.211170025,"('CNP', 'PPL')_CLOSE_CLOSE_20231023_160000" 
2023-10-23T20:00:00Z,CNP,25.665025365,23,Market On Open,Filled,590.295583395,"('CNP', 'D')_OPEN_20231023_160000" 
2023-10-23T20:00:00Z,D,36.216008,-227,Market On Open,Filled,-8221.033816,"('CNP', 'D')_OPEN_20231023_160000" 
2023-10-24T20:00:00Z,OKE,60.27269787,18,Market On Open,Filled,1084.90856166,"('OKE', 'OXY')_CLOSE_PAIR DRAWDOWN_20231024_160000" 
2023-10-24T20:00:00Z,OXY,60.518882306,-437,Market On Open,Filled,-26446.751567722,"('OKE', 'OXY')_CLOSE_PAIR DRAWDOWN_20231024_160000" 
2023-10-24T20:00:00Z,CVX,143.871615548,59,Market On Open,Filled,8488.425317332,"('CVX', 'DVN')_CLOSE_CLOSE_20231024_160000" 
2023-10-24T20:00:00Z,DVN,43.90717076,-236,Market On Open,Filled,-10362.09229936,"('CVX', 'DVN')_CLOSE_CLOSE_20231024_160000" 
2023-10-25T20:00:00Z,INTC,32.368633791,222,Market On Open,Filled,7185.836701602,"('INTC', 'MU')_CLOSE_CLOSE_20231025_160000" 
2023-10-25T20:00:00Z,MU,65.88961386,-222,Market On Open,Filled,-14627.49427692,"('INTC', 'MU')_CLOSE_CLOSE_20231025_160000" 
2023-10-25T20:00:00Z,D,36.913166154,137,Market On Open,Filled,5057.103763098,"('D', 'NEE')_OPEN_20231025_160000" 
2023-10-25T20:00:00Z,NEE,53.42408974,-179,Market On Open,Filled,-9562.91206346,"('D', 'NEE')_OPEN_20231025_160000" 
2023-10-26T20:00:00Z,FE,32.78473086,251,Market On Open,Filled,8228.96744586,"('FE', 'PPL')_CLOSE_CLOSE_20231026_160000" 
2023-10-26T20:00:00Z,PPL,23.042921065,-315,Market On Open,Filled,-7258.520135475,"('FE', 'PPL')_CLOSE_CLOSE_20231026_160000" 
2023-10-27T20:00:00Z,CNP,25.3902798,136,Market On Open,Filled,3453.0780528,"('CNP', 'NEE')_CLOSE_CLOSE_20231027_160000" 
2023-10-27T20:00:00Z,NEE,53.22646672,-456,Market On Open,Filled,-24271.26882432,"('CNP', 'NEE')_CLOSE_CLOSE_20231027_160000" 
2023-10-27T20:00:00Z,KMI,14.797532442,31,Market On Open,Filled,458.723505702,"('KMI', 'OXY')_OPEN_20231027_160000" 
2023-10-27T20:00:00Z,OXY,59.99758391,-114,Market On Open,Filled,-6839.72456574,"('KMI', 'OXY')_OPEN_20231027_160000" 
2023-10-30T20:00:00Z,EXC,35.303399383,233,Market On Open,Filled,8225.692056239,"('EXC', 'NI')_CLOSE_CLOSE_20231030_160000" 
2023-10-30T20:00:00Z,NI,23.881639328,-241,Market On Open,Filled,-5755.475078048,"('EXC', 'NI')_CLOSE_CLOSE_20231030_160000" 
2023-10-30T20:00:00Z,CTRA,25.6982508,242,Market On Open,Filled,6218.9766936,"('CTRA', 'WMB')_CLOSE_CLOSE_20231030_160000" 
2023-10-30T20:00:00Z,WMB,31.68600856,-367,Market On Open,Filled,-11628.76514152,"('CTRA', 'WMB')_CLOSE_CLOSE_20231030_160000" 
2023-11-01T20:00:00Z,CAG,24.69089401,250,Market On Open,Filled,6172.7235025,"('CAG', 'KHC')_OPEN_20231101_160000" 
2023-11-01T20:00:00Z,KHC,29.27432087,-176,Market On Open,Filled,-5152.28047312,"('CAG', 'KHC')_OPEN_20231101_160000" 
2023-11-02T20:00:00Z,D,38.714912552,409,Market On Open,Filled,15834.399233768,"('D', 'PPL')_OPEN_20231102_160000" 
2023-11-02T20:00:00Z,PPL,23.865548673,-258,Market On Open,Filled,-6157.311557634,"('D', 'PPL')_OPEN_20231102_160000" 
2023-11-02T20:00:00Z,CTRA,26.33485592,-170,Market On Open,Filled,-4476.9255064,"('CTRA', 'SLB')_OPEN_20231102_160000" 
2023-11-02T20:00:00Z,SLB,54.427803672,346,Market On Open,Filled,18832.020070512,"('CTRA', 'SLB')_OPEN_20231102_160000" 
2023-11-02T20:00:00Z,EXC,37.870252623,-103,Market On Open,Filled,-3900.636020169,"('EXC', 'PPL')_OPEN_20231102_160000" 
2023-11-02T20:00:00Z,PPL,23.865548673,284,Market On Open,Filled,6777.815823132,"('EXC', 'PPL')_OPEN_20231102_160000" 
2023-11-03T20:00:00Z,GOOG,129.305124608,-75,Market On Open,Filled,-9697.8843456,"('GOOG', 'GOOGL')_OPEN_20231103_160000" 
2023-11-03T20:00:00Z,GOOGL,128.156088904,75,Market On Open,Filled,9611.7066678,"('GOOG', 'GOOGL')_OPEN_20231103_160000" 
2023-11-03T20:00:00Z,MCHP,72.463414464,-92,Market On Open,Filled,-6666.634130688,"('MCHP', 'ON')_OPEN_20231103_160000" 
2023-11-03T20:00:00Z,ON,68.65,219,Market On Open,Filled,15034.35,"('MCHP', 'ON')_OPEN_20231103_160000" 
2023-11-03T20:00:00Z,CMCSA,40.36591022,-75,Market On Open,Filled,-3027.4432665,"('CMCSA', 'VZ')_OPEN_20231103_160000" 
2023-11-03T20:00:00Z,VZ,31.5784656,78,Market On Open,Filled,2463.1203168,"('CMCSA', 'VZ')_OPEN_20231103_160000" 
2023-11-06T21:00:00Z,D,41.259087114,-137,Market On Open,Filled,-5652.494934618,"('D', 'NEE')_CLOSE_CLOSE_20231106_160000" 
2023-11-06T21:00:00Z,NEE,55.5697111,179,Market On Open,Filled,9946.9782869,"('D', 'NEE')_CLOSE_CLOSE_20231106_160000" 
2023-11-06T21:00:00Z,KMI,15.126976578,-31,Market On Open,Filled,-468.936273918,"('KMI', 'OXY')_CLOSE_CLOSE_20231106_160000" 
2023-11-06T21:00:00Z,OXY,58.69433792,114,Market On Open,Filled,6691.15452288,"('KMI', 'OXY')_CLOSE_CLOSE_20231106_160000" 
2023-11-06T21:00:00Z,OXY,58.69433792,99,Market On Open,Filled,5810.73945408,"('OXY', 'WMB')_OPEN_20231106_160000" 
2023-11-06T21:00:00Z,WMB,32.69922395,-275,Market On Open,Filled,-8992.28658625,"('OXY', 'WMB')_OPEN_20231106_160000" 
2023-11-07T21:00:00Z,EXC,36.275136681,103,Market On Open,Filled,3736.339078143,"('EXC', 'PPL')_CLOSE_CLOSE_20231107_160000" 
2023-11-07T21:00:00Z,PPL,24.052509493,-284,Market On Open,Filled,-6830.912696012,"('EXC', 'PPL')_CLOSE_CLOSE_20231107_160000" 
2023-11-13T21:00:00Z,EW,65.7,152,Market On Open,Filled,9986.4,"('EW', 'MDT')_OPEN_20231113_160000" 
2023-11-13T21:00:00Z,MDT,67.771545067,-124,Market On Open,Filled,-8403.671588308,"('EW', 'MDT')_OPEN_20231113_160000" 
2023-11-13T21:00:00Z,EBAY,38.15968464,26,Market On Open,Filled,992.15180064,"('EBAY', 'TPR')_OPEN_20231113_160000" 
2023-11-13T21:00:00Z,TPR,27.55265842,-135,Market On Open,Filled,-3719.6088867,"('EBAY', 'TPR')_OPEN_20231113_160000" 
2023-11-14T21:00:00Z,CNP,26.185887728,-23,Market On Open,Filled,-602.275417744,"('CNP', 'D')_CLOSE_PAIR DRAWDOWN_20231114_160000" 
2023-11-14T21:00:00Z,D,42.037731286,227,Market On Open,Filled,9542.565001922,"('CNP', 'D')_CLOSE_PAIR DRAWDOWN_20231114_160000" 
2023-11-16T21:00:00Z,MCHP,78.467145363,92,Market On Open,Filled,7218.977373396,"('MCHP', 'ON')_CLOSE_STOP_LOSS_20231116_160000" 
2023-11-16T21:00:00Z,ON,69.81,-219,Market On Open,Filled,-15288.39,"('MCHP', 'ON')_CLOSE_STOP_LOSS_20231116_160000" 
2023-11-16T21:00:00Z,INTC,42.402117074,-188,Market On Open,Filled,-7971.598009912,"('INTC', 'MU')_OPEN_20231116_160000" 
2023-11-16T21:00:00Z,MU,76.092836232,187,Market On Open,Filled,14229.360375384,"('INTC', 'MU')_OPEN_20231116_160000" 
2023-11-21T21:00:00Z,EW,67.63,-152,Market On Open,Filled,-10279.76,"('EW', 'MDT')_CLOSE_STOP_LOSS_20231121_160000" 
2023-11-21T21:00:00Z,MDT,73.924081354,124,Market On Open,Filled,9166.586087896,"('EW', 'MDT')_CLOSE_STOP_LOSS_20231121_160000" 
2023-11-22T21:00:00Z,CAG,25.87532804,-250,Market On Open,Filled,-6468.83201,"('CAG', 'KHC')_CLOSE_STOP_LOSS_20231122_160000" 
2023-11-22T21:00:00Z,KHC,31.435087605,176,Market On Open,Filled,5532.57541848,"('CAG', 'KHC')_CLOSE_STOP_LOSS_20231122_160000" 
2023-11-22T21:00:00Z,EBAY,40.154395428,-26,Market On Open,Filled,-1044.014281128,"('EBAY', 'TPR')_CLOSE_CLOSE_20231122_160000" 
2023-11-22T21:00:00Z,TPR,28.908951072,135,Market On Open,Filled,3902.70839472,"('EBAY', 'TPR')_CLOSE_CLOSE_20231122_160000" 
