Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-10-03T20:00:00Z,CVX,151.18805381,-59,Market On Open,Filled,-8920.09517479,"('CVX', 'DVN')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,DVN,41.79732153,234,Market On Open,Filled,9780.57323802,"('CVX', 'DVN')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,KMI,14.371296596,48,Market On Open,Filled,689.822236608,"('KMI', 'TRP')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,TRP,29.400497875,-346,Market On Open,Filled,-10172.57226475,"('KMI', 'TRP')_OPEN_20231003_160000" 
2023-10-04T20:00:00Z,INTC,35.4078036,-222,Market On Open,Filled,-7860.5323992,"('INTC', 'MU')_OPEN_20231004_160000" 
2023-10-04T20:00:00Z,MU,67.918095594,221,Market On Open,Filled,15009.899126274,"('INTC', 'MU')_OPEN_20231004_160000" 
2023-10-04T20:00:00Z,CNP,25.12500822,-136,Market On Open,Filled,-3417.00111792,"('CNP', 'NEE')_OPEN_20231004_160000" 
2023-10-04T20:00:00Z,NEE,46.7237283,447,Market On Open,Filled,20885.5065501,"('CNP', 'NEE')_OPEN_20231004_160000" 
2023-10-05T20:00:00Z,CVX,150.702124953,-71,Market On Open,Filled,-10699.850871663,"('CVX', 'OXY')_OPEN_20231005_160000" 
2023-10-05T20:00:00Z,OXY,57.72897052,116,Market On Open,Filled,6696.56058032,"('CVX', 'OXY')_OPEN_20231005_160000" 
2023-10-09T20:00:00Z,CNP,25.797661155,136,Market On Open,Filled,3508.48191708,"('CNP', 'NEE')_CLOSE_STOP_LOSS_20231009_160000" 
2023-10-09T20:00:00Z,NEE,46.75196016,-447,Market On Open,Filled,-20898.12619152,"('CNP', 'NEE')_CLOSE_STOP_LOSS_20231009_160000" 
2023-10-09T20:00:00Z,KMI,15.06378085,-48,Market On Open,Filled,-723.0614808,"('KMI', 'TRP')_CLOSE_CLOSE_20231009_160000" 
