Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-10-03T20:00:00Z,CVX,151.18805381,-89,Market On Open,Filled,-13455.73678909,"('CVX', 'DVN')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,DVN,41.79732153,354,Market On Open,Filled,14796.25182162,"('CVX', 'DVN')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,KMI,14.371296596,75,Market On Open,Filled,1077.8472447,"('KMI', 'TRP')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,TRP,29.400497875,-535,Market On Open,Filled,-15729.266363125,"('KMI', 'TRP')_OPEN_20231003_160000" 
2023-10-04T20:00:00Z,INTC,35.4078036,-335,Market On Open,Filled,-11861.614206,"('INTC', 'MU')_OPEN_20231004_160000" 
2023-10-04T20:00:00Z,MU,67.918095594,333,Market On Open,Filled,22616.725832802,"('INTC', 'MU')_OPEN_20231004_160000" 
2023-10-04T20:00:00Z,CNP,25.12500822,-210,Market On Open,Filled,-5276.2517262,"('CNP', 'NEE')_OPEN_20231004_160000" 
2023-10-04T20:00:00Z,NEE,46.7237283,692,Market On Open,Filled,32332.8199836,"('CNP', 'NEE')_OPEN_20231004_160000" 
2023-10-05T20:00:00Z,CVX,150.702124953,-107,Market On Open,Filled,-16125.127369971,"('CVX', 'OXY')_OPEN_20231005_160000" 
2023-10-05T20:00:00Z,OXY,57.72897052,176,Market On Open,Filled,10160.29881152,"('CVX', 'OXY')_OPEN_20231005_160000" 
2023-10-09T20:00:00Z,KMI,15.06378085,-75,Market On Open,Filled,-1129.78356375,"('KMI', 'TRP')_CLOSE_CLOSE_20231009_160000" 
2023-10-09T20:00:00Z,TRP,30.125562785,535,Market On Open,Filled,16117.176089975,"('KMI', 'TRP')_CLOSE_CLOSE_20231009_160000" 
2023-10-10T20:00:00Z,OKE,60.54440049,-25,Market On Open,Filled,-1513.61001225,"('OKE', 'OXY')_OPEN_20231010_160000" 
2023-10-10T20:00:00Z,OXY,61.117410094,653,Market On Open,Filled,39909.668791382,"('OKE', 'OXY')_OPEN_20231010_160000" 
2023-10-11T20:00:00Z,OKE,61.422905628,-69,Market On Open,Filled,-4238.180488332,"('OKE', 'TRP')_OPEN_20231011_160000" 
2023-10-11T20:00:00Z,TRP,31.03631505,422,Market On Open,Filled,13097.3249511,"('OKE', 'TRP')_OPEN_20231011_160000" 
2023-10-13T20:00:00Z,CVX,151.2797385,107,Market On Open,Filled,16186.9320195,"('CVX', 'OXY')_CLOSE_CLOSE_20231013_160000" 
2023-10-13T20:00:00Z,OXY,62.353080366,-176,Market On Open,Filled,-10974.142144416,"('CVX', 'OXY')_CLOSE_CLOSE_20231013_160000" 
2023-10-16T20:00:00Z,FE,32.959215422,-279,Market On Open,Filled,-9195.621102738,"('FE', 'PPL')_OPEN_20231016_160000" 
