Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-10-03T20:00:00Z,CVX,151.18805381,-85,Market On Open,Filled,-12850.98457385,"('CVX', 'DVN')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,DVN,41.79732153,336,Market On Open,Filled,14043.90003408,"('CVX', 'DVN')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,KMI,14.371296596,73,Market On Open,Filled,1049.104651508,"('KMI', 'TRP')_OPEN_20231003_160000" 
2023-10-03T20:00:00Z,TRP,29.400497875,-508,Market On Open,Filled,-14935.4529205,"('KMI', 'TRP')_OPEN_20231003_160000" 
2023-10-04T20:00:00Z,INTC,35.4078036,-250,Market On Open,Filled,-8851.9509,"('INTC', 'MU')_OPEN_20231004_160000" 
2023-10-04T20:00:00Z,MU,67.918095594,249,Market On Open,Filled,16911.605802906,"('INTC', 'MU')_OPEN_20231004_160000" 
2023-10-04T20:00:00Z,CNP,25.12500822,-156,Market On Open,Filled,-3919.50128232,"('CNP', 'NEE')_OPEN_20231004_160000" 
2023-10-04T20:00:00Z,NEE,46.7237283,518,Market On Open,Filled,24202.8912594,"('CNP', 'NEE')_OPEN_20231004_160000" 
2023-10-05T20:00:00Z,CVX,150.702124953,-52,Market On Open,Filled,-7836.510497556,"('CVX', 'OXY')_OPEN_20231005_160000" 
2023-10-05T20:00:00Z,OXY,57.72897052,85,Market On Open,Filled,4906.9624942,"('CVX', 'OXY')_OPEN_20231005_160000" 
2023-10-09T20:00:00Z,KMI,15.06378085,-73,Market On Open,Filled,-1099.65600205,"('KMI', 'TRP')_CLOSE_CLOSE_20231009_160000" 
2023-10-09T20:00:00Z,TRP,30.125562785,508,Market On Open,Filled,15303.78589478,"('KMI', 'TRP')_CLOSE_CLOSE_20231009_160000" 
2023-10-10T20:00:00Z,OKE,60.54440049,-14,Market On Open,Filled,-847.62160686,"('OKE', 'OXY')_OPEN_20231010_160000" 
2023-10-10T20:00:00Z,OXY,61.117410094,324,Market On Open,Filled,19802.040870456,"('OKE', 'OXY')_OPEN_20231010_160000" 
2023-10-13T20:00:00Z,CVX,151.2797385,52,Market On Open,Filled,7866.546402,"('CVX', 'OXY')_CLOSE_CLOSE_20231013_160000" 
2023-10-13T20:00:00Z,OXY,62.353080366,-85,Market On Open,Filled,-5300.01183111,"('CVX', 'OXY')_CLOSE_CLOSE_20231013_160000" 
2023-10-16T20:00:00Z,FE,32.959215422,-187,Market On Open,Filled,-6163.373283914,"('FE', 'PPL')_OPEN_20231016_160000" 
2023-10-16T20:00:00Z,PPL,22.425950359,234,Market On Open,Filled,5247.672384006,"('FE', 'PPL')_OPEN_20231016_160000" 
2023-10-16T20:00:00Z,EXC,36.559324004,-174,Market On Open,Filled,-6361.322376696,"('EXC', 'NI')_OPEN_20231016_160000" 
2023-10-16T20:00:00Z,NI,24.289600762,181,Market On Open,Filled,4396.417737922,"('EXC', 'NI')_OPEN_20231016_160000" 
2023-10-23T20:00:00Z,INTC,33.165309372,250,Market On Open,Filled,8291.327343,"('INTC', 'MU')_CLOSE_CLOSE_20231023_160000" 
2023-10-23T20:00:00Z,MU,66.722529972,-249,Market On Open,Filled,-16613.909963028,"('INTC', 'MU')_CLOSE_CLOSE_20231023_160000" 
2023-10-24T20:00:00Z,CVX,143.871615548,85,Market On Open,Filled,12229.08732158,"('CVX', 'DVN')_CLOSE_CLOSE_20231024_160000" 
2023-10-24T20:00:00Z,DVN,43.90717076,-336,Market On Open,Filled,-14752.80937536,"('CVX', 'DVN')_CLOSE_CLOSE_20231024_160000" 
2023-10-24T20:00:00Z,CVX,143.871615548,68,Market On Open,Filled,9783.269857264,"('CVX', 'OXY')_OPEN_20231024_160000" 
2023-10-24T20:00:00Z,OXY,60.518882306,-111,Market On Open,Filled,-6717.595935966,"('CVX', 'OXY')_OPEN_20231024_160000" 
2023-10-24T20:00:00Z,D,36.315602022,106,Market On Open,Filled,3849.453814332,"('D', 'NEE')_OPEN_20231024_160000" 
2023-10-24T20:00:00Z,NEE,52.33245782,-138,Market On Open,Filled,-7221.87917916,"('D', 'NEE')_OPEN_20231024_160000" 
2023-10-26T20:00:00Z,FE,32.78473086,187,Market On Open,Filled,6130.74467082,"('FE', 'PPL')_CLOSE_CLOSE_20231026_160000" 
2023-10-26T20:00:00Z,PPL,23.042921065,-234,Market On Open,Filled,-5392.04352921,"('FE', 'PPL')_CLOSE_CLOSE_20231026_160000" 
2023-10-27T20:00:00Z,CNP,25.3902798,156,Market On Open,Filled,3960.8836488,"('CNP', 'NEE')_CLOSE_CLOSE_20231027_160000" 
2023-10-27T20:00:00Z,NEE,53.22646672,-518,Market On Open,Filled,-27571.30976096,"('CNP', 'NEE')_CLOSE_CLOSE_20231027_160000" 
2023-10-27T20:00:00Z,CVX,133.547919454,-68,Market On Open,Filled,-9081.258522872,"('CVX', 'OXY')_CLOSE_STOP_LOSS_20231027_160000" 
2023-10-27T20:00:00Z,OXY,59.99758391,111,Market On Open,Filled,6659.73181401,"('CVX', 'OXY')_CLOSE_STOP_LOSS_20231027_160000" 
2023-10-27T20:00:00Z,KMI,14.797532442,53,Market On Open,Filled,784.269219426,"('KMI', 'OXY')_OPEN_20231027_160000" 
2023-10-27T20:00:00Z,OXY,59.99758391,-193,Market On Open,Filled,-11579.53369463,"('KMI', 'OXY')_OPEN_20231027_160000" 
2023-10-27T20:00:00Z,CNP,25.3902798,33,Market On Open,Filled,837.8792334,"('CNP', 'D')_OPEN_20231027_160000" 
2023-10-27T20:00:00Z,D,36.424250046,-306,Market On Open,Filled,-11145.820514076,"('CNP', 'D')_OPEN_20231027_160000" 
2023-10-30T20:00:00Z,EXC,35.303399383,174,Market On Open,Filled,6142.791492642,"('EXC', 'NI')_CLOSE_CLOSE_20231030_160000" 
2023-10-30T20:00:00Z,NI,23.881639328,-181,Market On Open,Filled,-4322.576718368,"('EXC', 'NI')_CLOSE_CLOSE_20231030_160000" 
2023-10-31T20:00:00Z,CNP,25.50396762,240,Market On Open,Filled,6120.9522288,"('CNP', 'FE')_OPEN_20231031_160000" 
2023-10-31T20:00:00Z,FE,32.803097656,-372,Market On Open,Filled,-12202.752328032,"('CNP', 'FE')_OPEN_20231031_160000" 
2023-11-01T20:00:00Z,CAG,24.69089401,440,Market On Open,Filled,10863.9933644,"('CAG', 'KHC')_OPEN_20231101_160000" 
2023-11-01T20:00:00Z,KHC,29.27432087,-309,Market On Open,Filled,-9045.76514883,"('CAG', 'KHC')_OPEN_20231101_160000" 
2023-11-02T20:00:00Z,KMI,15.46557194,-53,Market On Open,Filled,-819.67531282,"('KMI', 'OXY')_CLOSE_CLOSE_20231102_160000" 
2023-11-02T20:00:00Z,OXY,60.789185178,193,Market On Open,Filled,11732.312739354,"('KMI', 'OXY')_CLOSE_CLOSE_20231102_160000" 
2023-11-02T20:00:00Z,INTC,37.3749038,-216,Market On Open,Filled,-8072.9792208,"('INTC', 'MU')_OPEN_20231102_160000" 
2023-11-02T20:00:00Z,MU,70.69871284,214,Market On Open,Filled,15129.52454776,"('INTC', 'MU')_OPEN_20231102_160000" 
2023-11-02T20:00:00Z,D,38.714912552,422,Market On Open,Filled,16337.693096944,"('D', 'PPL')_OPEN_20231102_160000" 
2023-11-02T20:00:00Z,PPL,23.865548673,-267,Market On Open,Filled,-6372.101495691,"('D', 'PPL')_OPEN_20231102_160000" 
2023-11-02T20:00:00Z,CTRA,26.33485592,-176,Market On Open,Filled,-4634.93464192,"('CTRA', 'SLB')_OPEN_20231102_160000" 
2023-11-02T20:00:00Z,SLB,54.427803672,360,Market On Open,Filled,19594.00932192,"('CTRA', 'SLB')_OPEN_20231102_160000" 
2023-11-02T20:00:00Z,EXC,37.870252623,-189,Market On Open,Filled,-7157.477745747,"('EXC', 'PPL')_OPEN_20231102_160000" 
2023-11-02T20:00:00Z,PPL,23.865548673,519,Market On Open,Filled,12386.219761287,"('EXC', 'PPL')_OPEN_20231102_160000" 
2023-11-02T20:00:00Z,EBAY,38.178957208,75,Market On Open,Filled,2863.4217906,"('EBAY', 'TPR')_OPEN_20231102_160000" 
2023-11-02T20:00:00Z,TPR,26.518840944,-386,Market On Open,Filled,-10236.272604384,"('EBAY', 'TPR')_OPEN_20231102_160000" 
2023-11-06T21:00:00Z,D,41.259087114,-106,Market On Open,Filled,-4373.463234084,"('D', 'NEE')_CLOSE_CLOSE_20231106_160000" 
2023-11-06T21:00:00Z,NEE,55.5697111,138,Market On Open,Filled,7668.6201318,"('D', 'NEE')_CLOSE_CLOSE_20231106_160000" 
2023-11-07T21:00:00Z,EBAY,35.924066752,-75,Market On Open,Filled,-2694.3050064,"('EBAY', 'TPR')_CLOSE_CLOSE_20231107_160000" 
2023-11-07T21:00:00Z,TPR,26.044612744,386,Market On Open,Filled,10053.220519184,"('EBAY', 'TPR')_CLOSE_CLOSE_20231107_160000" 
2023-11-07T21:00:00Z,EXC,36.275136681,189,Market On Open,Filled,6856.000832709,"('EXC', 'PPL')_CLOSE_CLOSE_20231107_160000" 
2023-11-07T21:00:00Z,PPL,24.052509493,-519,Market On Open,Filled,-12483.252426867,"('EXC', 'PPL')_CLOSE_CLOSE_20231107_160000" 
2023-11-08T21:00:00Z,GOOG,132.413850624,-46,Market On Open,Filled,-6091.037128704,"('GOOG', 'GOOGL')_OPEN_20231108_160000" 
2023-11-08T21:00:00Z,GOOGL,131.165333707,46,Market On Open,Filled,6033.605350522,"('GOOG', 'GOOGL')_OPEN_20231108_160000" 
2023-11-08T21:00:00Z,MCHP,72.092343933,-60,Market On Open,Filled,-4325.54063598,"('MCHP', 'ON')_OPEN_20231108_160000" 
2023-11-08T21:00:00Z,ON,66.28,144,Market On Open,Filled,9544.32,"('MCHP', 'ON')_OPEN_20231108_160000" 
2023-11-08T21:00:00Z,OXY,59.389402448,65,Market On Open,Filled,3860.31115912,"('OXY', 'WMB')_OPEN_20231108_160000" 
2023-11-08T21:00:00Z,WMB,32.468947725,-180,Market On Open,Filled,-5844.4105905,"('OXY', 'WMB')_OPEN_20231108_160000" 
2023-11-10T21:00:00Z,OKE,58.975618176,14,Market On Open,Filled,825.658654464,"('OKE', 'OXY')_CLOSE_RISK_TRIGGER_20231110_160000" 
2023-11-10T21:00:00Z,OXY,58.974294466,-324,Market On Open,Filled,-19107.671406984,"('OKE', 'OXY')_CLOSE_RISK_TRIGGER_20231110_160000" 
2023-11-15T21:00:00Z,CNP,26.424461778,-33,Market On Open,Filled,-872.007238674,"('CNP', 'D')_CLOSE_RISK_TRIGGER_20231115_160000" 
2023-11-15T21:00:00Z,D,42.997455498,306,Market On Open,Filled,13157.221382388,"('CNP', 'D')_CLOSE_RISK_TRIGGER_20231115_160000" 
2023-11-20T21:00:00Z,MCHP,80.205330884,60,Market On Open,Filled,4812.31985304,"('MCHP', 'ON')_CLOSE_STOP_LOSS_20231120_160000" 
2023-11-20T21:00:00Z,ON,70.04,-144,Market On Open,Filled,-10085.76,"('MCHP', 'ON')_CLOSE_STOP_LOSS_20231120_160000" 
2023-11-27T21:00:00Z,CAG,25.674885358,-440,Market On Open,Filled,-11296.94955752,"('CAG', 'KHC')_CLOSE_STOP_LOSS_20231127_160000" 
2023-11-27T21:00:00Z,KHC,31.597823175,309,Market On Open,Filled,9763.727361075,"('CAG', 'KHC')_CLOSE_STOP_LOSS_20231127_160000" 
2023-11-28T21:00:00Z,EW,67.55,90,Market On Open,Filled,6079.5,"('EW', 'MDT')_OPEN_20231128_160000" 
2023-11-28T21:00:00Z,MDT,73.746154125,-73,Market On Open,Filled,-5383.469251125,"('EW', 'MDT')_OPEN_20231128_160000" 
2023-11-28T21:00:00Z,KMI,15.904830788,-92,Market On Open,Filled,-1463.244432496,"('KMI', 'OXY')_OPEN_20231128_160000" 
2023-11-28T21:00:00Z,OXY,58.173039524,293,Market On Open,Filled,17044.700580532,"('KMI', 'OXY')_OPEN_20231128_160000" 
2023-11-28T21:00:00Z,CTRA,24.653054854,131,Market On Open,Filled,3229.550185874,"('CTRA', 'WMB')_OPEN_20231128_160000" 
2023-11-28T21:00:00Z,WMB,33.555851507,-180,Market On Open,Filled,-6040.05327126,"('CTRA', 'WMB')_OPEN_20231128_160000" 
2023-11-30T21:00:00Z,CNP,27.025668384,-240,Market On Open,Filled,-6486.16041216,"('CNP', 'FE')_CLOSE_CLOSE_20231130_160000" 
2023-11-30T21:00:00Z,FE,34.296185637,372,Market On Open,Filled,12758.181056964,"('CNP', 'FE')_CLOSE_CLOSE_20231130_160000" 
2023-12-01T21:00:00Z,KMI,16.188518794,92,Market On Open,Filled,1489.343729048,"('KMI', 'OXY')_CLOSE_STOP_LOSS_20231201_160000" 
2023-12-01T21:00:00Z,OXY,56.358148812,-293,Market On Open,Filled,-16512.937601916,"('KMI', 'OXY')_CLOSE_STOP_LOSS_20231201_160000" 
2023-12-04T21:00:00Z,CTRA,24.42670699,176,Market On Open,Filled,4299.10043024,"('CTRA', 'SLB')_CLOSE_RISK_TRIGGER_20231204_160000" 
2023-12-04T21:00:00Z,SLB,49.134808372,-360,Market On Open,Filled,-17688.53101392,"('CTRA', 'SLB')_CLOSE_RISK_TRIGGER_20231204_160000" 
2023-12-04T21:00:00Z,D,42.444832305,-422,Market On Open,Filled,-17911.71923271,"('D', 'PPL')_CLOSE_RISK_TRIGGER_20231204_160000" 
2023-12-04T21:00:00Z,PPL,24.641436076,267,Market On Open,Filled,6579.263432292,"('D', 'PPL')_CLOSE_RISK_TRIGGER_20231204_160000" 
2023-12-04T21:00:00Z,INTC,41.356125822,216,Market On Open,Filled,8932.923177552,"('INTC', 'MU')_CLOSE_RISK_TRIGGER_20231204_160000" 
2023-12-04T21:00:00Z,MU,72.850412796,-214,Market On Open,Filled,-15589.988338344,"('INTC', 'MU')_CLOSE_RISK_TRIGGER_20231204_160000" 
2023-12-04T21:00:00Z,OXY,55.972001852,48,Market On Open,Filled,2686.656088896,"('OXY', 'SLB')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,SLB,49.134808372,-157,Market On Open,Filled,-7714.164914404,"('OXY', 'SLB')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,OXY,55.972001852,52,Market On Open,Filled,2910.544096304,"('OXY', 'XOM')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,XOM,96.229749714,-79,Market On Open,Filled,-7602.150227406,"('OXY', 'XOM')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,GILD,73.063708366,-72,Market On Open,Filled,-5260.587002352,"('GILD', 'PFE')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,PFE,26.077257288,330,Market On Open,Filled,8605.49490504,"('GILD', 'PFE')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,EXC,35.893112373,95,Market On Open,Filled,3409.845675435,"('EXC', 'PPL')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,PPL,24.641436076,-262,Market On Open,Filled,-6456.056251912,"('EXC', 'PPL')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,KMI,16.33493841,-68,Market On Open,Filled,-1110.77581188,"('KMI', 'SLB')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,SLB,49.134808372,391,Market On Open,Filled,19211.710073452,"('KMI', 'SLB')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,KMI,16.33493841,-89,Market On Open,Filled,-1453.80951849,"('KMI', 'WMB')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,WMB,34.044037104,530,Market On Open,Filled,18043.33966512,"('KMI', 'WMB')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,EXC,35.893112373,190,Market On Open,Filled,6819.69135087,"('EXC', 'NI')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,NI,24.996367746,-206,Market On Open,Filled,-5149.251755676,"('EXC', 'NI')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,OXY,55.972001852,75,Market On Open,Filled,4197.9001389,"('OXY', 'SU')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,SU,30.157443109,-199,Market On Open,Filled,-6001.331178691,"('OXY', 'SU')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,CVE,15.975351664,120,Market On Open,Filled,1917.04219968,"('CVE', 'HAL')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,HAL,35.464447982,-189,Market On Open,Filled,-6702.780668598,"('CVE', 'HAL')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,CVE,15.975351664,103,Market On Open,Filled,1645.461221392,"('CVE', 'SLB')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,SLB,49.134808372,-136,Market On Open,Filled,-6682.333938592,"('CVE', 'SLB')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,CNP,27.512359446,-70,Market On Open,Filled,-1925.86516122,"('CNP', 'NEE')_OPEN_20231204_160000" 
2023-12-04T21:00:00Z,NEE,55.670396688,286,Market On Open,Filled,15921.733452768,"('CNP', 'NEE')_OPEN_20231204_160000" 
2023-12-11T21:00:00Z,GOOG,132.384054528,46,Market On Open,Filled,6089.666508288,"('GOOG', 'GOOGL')_CLOSE_RISK_TRIGGER_20231211_160000" 
2023-12-11T21:00:00Z,GOOGL,130.877320178,-46,Market On Open,Filled,-6020.356728188,"('GOOG', 'GOOGL')_CLOSE_RISK_TRIGGER_20231211_160000" 
2023-12-11T21:00:00Z,OXY,54.737008776,-65,Market On Open,Filled,-3557.90557044,"('OXY', 'WMB')_CLOSE_RISK_TRIGGER_20231211_160000" 
2023-12-11T21:00:00Z,WMB,32.375797623,180,Market On Open,Filled,5827.64357214,"('OXY', 'WMB')_CLOSE_RISK_TRIGGER_20231211_160000" 
2023-12-12T21:00:00Z,GILD,75.79532334,72,Market On Open,Filled,5457.26328048,"('GILD', 'PFE')_CLOSE_STOP_LOSS_20231212_160000" 
2023-12-12T21:00:00Z,PFE,23.51961134,-330,Market On Open,Filled,-7761.4717422,"('GILD', 'PFE')_CLOSE_STOP_LOSS_20231212_160000" 
2023-12-12T21:00:00Z,CVE,14.762270054,-120,Market On Open,Filled,-1771.47240648,"('CVE', 'HAL')_CLOSE_STOP_LOSS_20231212_160000" 
2023-12-12T21:00:00Z,HAL,33.12343128,189,Market On Open,Filled,6260.32851192,"('CVE', 'HAL')_CLOSE_STOP_LOSS_20231212_160000" 
2023-12-12T21:00:00Z,EXC,36.540835463,-190,Market On Open,Filled,-6942.75873797,"('EXC', 'NI')_CLOSE_CLOSE_20231212_160000" 
2023-12-12T21:00:00Z,NI,24.797983875,206,Market On Open,Filled,5108.38467825,"('EXC', 'NI')_CLOSE_CLOSE_20231212_160000" 
2023-12-13T21:00:00Z,CNP,29.020147442,70,Market On Open,Filled,2031.41032094,"('CNP', 'NEE')_CLOSE_STOP_LOSS_20231213_160000" 
2023-12-13T21:00:00Z,NEE,60.262160832,-286,Market On Open,Filled,-17234.977997952,"('CNP', 'NEE')_CLOSE_STOP_LOSS_20231213_160000" 
2023-12-13T21:00:00Z,EXC,38.141636814,-50,Market On Open,Filled,-1907.0818407,"('EXC', 'NEE')_OPEN_20231213_160000" 
2023-12-13T21:00:00Z,NEE,60.262160832,388,Market On Open,Filled,23381.718402816,"('EXC', 'NEE')_OPEN_20231213_160000" 
2023-12-13T21:00:00Z,KMI,16.170216342,-123,Market On Open,Filled,-1988.936610066,"('KMI', 'OXY')_OPEN_20231213_160000" 
2023-12-13T21:00:00Z,OXY,56.94508344,390,Market On Open,Filled,22208.5825416,"('KMI', 'OXY')_OPEN_20231213_160000" 
2023-12-14T21:00:00Z,EXC,34.643932128,-95,Market On Open,Filled,-3291.17355216,"('EXC', 'PPL')_CLOSE_STOP_LOSS_20231214_160000" 
2023-12-14T21:00:00Z,PPL,25.254906341,262,Market On Open,Filled,6616.785461342,"('EXC', 'PPL')_CLOSE_STOP_LOSS_20231214_160000" 
2023-12-14T21:00:00Z,KMI,15.978040596,123,Market On Open,Filled,1965.298993308,"('KMI', 'OXY')_CLOSE_STOP_LOSS_20231214_160000" 
2023-12-14T21:00:00Z,OXY,56.615809148,-390,Market On Open,Filled,-22080.16556772,"('KMI', 'OXY')_CLOSE_STOP_LOSS_20231214_160000" 
2023-12-14T21:00:00Z,INTC,45.066434414,-111,Market On Open,Filled,-5002.374219954,"('INTC', 'MU')_OPEN_20231214_160000" 
2023-12-14T21:00:00Z,MU,82.022405696,109,Market On Open,Filled,8940.442220864,"('INTC', 'MU')_OPEN_20231214_160000" 
2023-12-14T21:00:00Z,D,44.814615195,226,Market On Open,Filled,10128.10303407,"('D', 'PPL')_OPEN_20231214_160000" 
2023-12-14T21:00:00Z,PPL,25.254906341,-142,Market On Open,Filled,-3586.196700422,"('D', 'PPL')_OPEN_20231214_160000" 
2023-12-15T21:00:00Z,EXC,32.747028793,50,Market On Open,Filled,1637.35143965,"('EXC', 'NEE')_CLOSE_STOP_LOSS_20231215_160000" 
2023-12-15T21:00:00Z,NEE,58.44063456,-388,Market On Open,Filled,-22674.96620928,"('EXC', 'NEE')_CLOSE_STOP_LOSS_20231215_160000" 
2023-12-15T21:00:00Z,OXY,57.81669186,-52,Market On Open,Filled,-3006.46797672,"('OXY', 'XOM')_CLOSE_CLOSE_20231215_160000" 
2023-12-15T21:00:00Z,XOM,96.154474658,79,Market On Open,Filled,7596.203497982,"('OXY', 'XOM')_CLOSE_CLOSE_20231215_160000" 
2023-12-21T21:00:00Z,GOOG,141.193766912,-61,Market On Open,Filled,-8612.819781632,"('GOOG', 'GOOGL')_OPEN_20231221_160000" 
2023-12-21T21:00:00Z,GOOGL,139.746150571,61,Market On Open,Filled,8524.515184831,"('GOOG', 'GOOGL')_OPEN_20231221_160000" 
2023-12-21T21:00:00Z,OXY,59.36621794,90,Market On Open,Filled,5342.9596146,"('OXY', 'WMB')_OPEN_20231221_160000" 
2023-12-21T21:00:00Z,WMB,32.804863221,-251,Market On Open,Filled,-8234.020668471,"('OXY', 'WMB')_OPEN_20231221_160000" 
2023-12-22T21:00:00Z,GILD,74.999268592,-84,Market On Open,Filled,-6299.938561728,"('GILD', 'PFE')_OPEN_20231222_160000" 
2023-12-22T21:00:00Z,PFE,25.406545938,386,Market On Open,Filled,9806.926732068,"('GILD', 'PFE')_OPEN_20231222_160000" 
2023-12-22T21:00:00Z,EXC,32.561965053,231,Market On Open,Filled,7521.813927243,"('EXC', 'NI')_OPEN_20231222_160000" 
2023-12-22T21:00:00Z,NI,24.722409067,-251,Market On Open,Filled,-6205.324675817,"('EXC', 'NI')_OPEN_20231222_160000" 
2023-12-22T21:00:00Z,CVE,16.040939908,144,Market On Open,Filled,2309.895346752,"('CVE', 'HAL')_OPEN_20231222_160000" 
2023-12-22T21:00:00Z,HAL,35.52562176,-226,Market On Open,Filled,-8028.79051776,"('CVE', 'HAL')_OPEN_20231222_160000" 
2023-12-26T21:00:00Z,OXY,59.550224162,-48,Market On Open,Filled,-2858.410759776,"('OXY', 'SLB')_CLOSE_CLOSE_20231226_160000" 
2023-12-26T21:00:00Z,SLB,50.964498676,157,Market On Open,Filled,8001.426292132,"('OXY', 'SLB')_CLOSE_CLOSE_20231226_160000" 
2023-12-26T21:00:00Z,GILD,75.366174196,84,Market On Open,Filled,6330.758632464,"('GILD', 'PFE')_CLOSE_STOP_LOSS_20231226_160000" 
2023-12-26T21:00:00Z,PFE,25.44231721,-386,Market On Open,Filled,-9820.73444306,"('GILD', 'PFE')_CLOSE_STOP_LOSS_20231226_160000" 
2023-12-26T21:00:00Z,EXC,32.904332972,-231,Market On Open,Filled,-7600.900916532,"('EXC', 'NI')_CLOSE_STOP_LOSS_20231226_160000" 
2023-12-26T21:00:00Z,NI,24.920792938,251,Market On Open,Filled,6255.119027438,"('EXC', 'NI')_CLOSE_STOP_LOSS_20231226_160000" 
2023-12-27T21:00:00Z,EXC,32.75628198,17,Market On Open,Filled,556.85679366,"('EXC', 'NEE')_OPEN_20231227_160000" 
2023-12-27T21:00:00Z,NEE,57.036541392,-133,Market On Open,Filled,-7585.860005136,"('EXC', 'NEE')_OPEN_20231227_160000" 
2023-12-27T21:00:00Z,EXC,32.75628198,94,Market On Open,Filled,3079.09050612,"('EXC', 'PPL')_OPEN_20231227_160000" 
2023-12-27T21:00:00Z,PPL,25.509625232,-257,Market On Open,Filled,-6555.973684624,"('EXC', 'PPL')_OPEN_20231227_160000" 
2023-12-27T21:00:00Z,KMI,16.206821246,-96,Market On Open,Filled,-1555.854839616,"('KMI', 'OXY')_OPEN_20231227_160000" 
2023-12-27T21:00:00Z,OXY,58.891675578,302,Market On Open,Filled,17785.286024556,"('KMI', 'OXY')_OPEN_20231227_160000" 
2023-12-27T21:00:00Z,CNP,27.05429727,-68,Market On Open,Filled,-1839.69221436,"('CNP', 'NEE')_OPEN_20231227_160000" 
2023-12-27T21:00:00Z,NEE,57.036541392,280,Market On Open,Filled,15970.23158976,"('CNP', 'NEE')_OPEN_20231227_160000" 
2023-12-28T21:00:00Z,EXC,33.03387759,-17,Market On Open,Filled,-561.57591903,"('EXC', 'NEE')_CLOSE_STOP_LOSS_20231228_160000" 
2023-12-28T21:00:00Z,NEE,57.68166528,133,Market On Open,Filled,7671.66148224,"('EXC', 'NEE')_CLOSE_STOP_LOSS_20231228_160000" 
2023-12-28T21:00:00Z,EXC,33.03387759,-94,Market On Open,Filled,-3105.18449346,"('EXC', 'PPL')_CLOSE_STOP_LOSS_20231228_160000" 
2023-12-28T21:00:00Z,PPL,25.528493298,257,Market On Open,Filled,6560.822777586,"('EXC', 'PPL')_CLOSE_STOP_LOSS_20231228_160000" 
2023-12-29T21:00:00Z,EW,75.69,-90,Market On Open,Filled,-6812.1,"('EW', 'MDT')_CLOSE_RISK_TRIGGER_20231229_160000" 
2023-12-29T21:00:00Z,MDT,77.536768596,73,Market On Open,Filled,5660.184107508,"('EW', 'MDT')_CLOSE_RISK_TRIGGER_20231229_160000" 
2023-12-29T21:00:00Z,CTRA,24.23808377,-131,Market On Open,Filled,-3175.18897387,"('CTRA', 'WMB')_CLOSE_RISK_TRIGGER_20231229_160000" 
