Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2024-07-02T20:00:00Z,PAA,17.23731523,-514,Market On Open,Filled,-8859.98003, 
2024-07-02T20:00:00Z,CPB,43.95403833,-168,Market On Open,Filled,-7384.278439, 
2024-07-02T20:00:00Z,FANG,199.8104694,27,Market On Open,Filled,5394.882673, 
2024-07-02T20:00:00Z,K,55.20500438,92,Market On Open,Filled,5078.860403, 
2024-07-15T20:00:00Z,KVUE,17.42477718,423,Market On Open,Filled,7370.680749, 
2024-07-15T20:00:00Z,SJM,112.0624801,-46,Market On Open,Filled,-5154.874082, 
2024-07-16T20:00:00Z,DUK,103.1771489,-67,Market On Open,Filled,-6912.868979, 
2024-07-16T20:00:00Z,ALE,61.11018875,106,Market On Open,Filled,6477.680008, 
2024-07-18T20:00:00Z,CPB,46.75713023,168,Market On Open,Filled,7855.197879, 
2024-07-18T20:00:00Z,K,57.59718882,-92,Market On Open,Filled,-5298.941372, 
2024-07-18T20:00:00Z,CTRA,26.22301697,-264,Market On Open,Filled,-6922.87648, 
2024-07-18T20:00:00Z,CHK,78.99783228,81,Market On Open,Filled,6398.824414, 
2024-07-23T20:00:00Z,PAA,17.53371184,514,Market On Open,Filled,9012.327887, 
2024-07-23T20:00:00Z,FANG,193.7506119,-27,Market On Open,Filled,-5231.266521, 
2024-07-23T20:00:00Z,ED,91.02355826,91,Market On Open,Filled,8283.143801, 
2024-07-23T20:00:00Z,AVA,36.19307051,-160,Market On Open,Filled,-5790.891281, 
2024-07-24T20:00:00Z,PH,528.1907321,13,Market On Open,Filled,6866.479518, 
2024-07-24T20:00:00Z,TMUS,175.7939646,39,Market On Open,Filled,6855.964617, 
2024-07-24T20:00:00Z,CNI,113.6051995,60,Market On Open,Filled,6816.311972, 
2024-07-24T20:00:00Z,T,18.46573034,-351,Market On Open,Filled,-6481.471349, 
2024-07-24T20:00:00Z,UNP,230.5932462,-26,Market On Open,Filled,-5995.424401, 
2024-07-24T20:00:00Z,URI,708.549699,-7,Market On Open,Filled,-4959.847893, 
2024-07-29T20:00:00Z,CNI,111.7782153,-60,Market On Open,Filled,-6706.69292, 
2024-07-29T20:00:00Z,UNP,237.7204605,26,Market On Open,Filled,6180.731973, 
2024-08-01T20:00:00Z,ED,99.68234456,-91,Market On Open,Filled,-9071.093355, 
2024-08-01T20:00:00Z,DUK,110.1924627,67,Market On Open,Filled,7382.895001, 
2024-08-01T20:00:00Z,TMUS,186.3958446,-39,Market On Open,Filled,-7269.437939, 
2024-08-01T20:00:00Z,T,18.94811619,351,Market On Open,Filled,6650.788782, 
2024-08-01T20:00:00Z,ALE,60.9762591,-106,Market On Open,Filled,-6463.483464, 
2024-08-01T20:00:00Z,AVA,37.52509729,160,Market On Open,Filled,6004.015566, 
2024-08-02T20:00:00Z,PPC,36.19620052,59,Market On Open,Filled,2135.57583, 
2024-08-05T20:00:00Z,ED,97.31470768,-86,Market On Open,Filled,-8369.06486, 
2024-08-05T20:00:00Z,CSCO,43.76851905,184,Market On Open,Filled,8053.407505, 
2024-08-05T20:00:00Z,AVA,35.73637561,159,Market On Open,Filled,5682.083722, 
2024-08-05T20:00:00Z,TEL,140.1790419,26,Market On Open,Filled,3644.655088, 
2024-08-06T20:00:00Z,TEL,141.0951174,-26,Market On Open,Filled,-3668.473051, 
2024-08-07T20:00:00Z,EPD,27.2790257,-287,Market On Open,Filled,-7829.080375, 
2024-08-07T20:00:00Z,ET,14.63090738,477,Market On Open,Filled,6978.942818, 
2024-08-07T20:00:00Z,OKE,80.55981318,-78,Market On Open,Filled,-6283.665428, 
2024-08-12T20:00:00Z,EPD,26.8326071,287,Market On Open,Filled,7700.958238, 
2024-08-12T20:00:00Z,ET,14.6879085,-477,Market On Open,Filled,-7006.132355, 
2024-08-12T20:00:00Z,TMUS,193.1021501,-36,Market On Open,Filled,-6951.677404, 
2024-08-12T20:00:00Z,T,18.74551413,351,Market On Open,Filled,6579.67546, 
2024-08-20T20:00:00Z,CSCO,49.25182345,-353,Market On Open,Filled,-17385.89368, 
2024-08-20T20:00:00Z,TEL,147.4491729,-26,Market On Open,Filled,-3833.678496, 
2024-08-29T20:00:00Z,OKE,86.97171668,78,Market On Open,Filled,6783.793901, 
